t,b,g,r,helper,counter
97.84774999999999,138,153,123,"123,153,138",3
97.93116666666666,180,199,156,"156,199,180",1
98.01458333333332,180,199,156,"156,199,180",2
98.098,180,199,156,"156,199,180",3
98.18141666666666,180,199,156,"156,199,180",4
98.26483333333333,180,199,156,"156,199,180",5
98.34825,180,199,156,"156,199,180",6
98.43166666666666,180,199,156,"156,199,180",7
98.51508333333332,180,199,156,"156,199,180",8
98.59849999999999,94,104,85,"85,104,94",1
98.68191666666667,94,104,85,"85,104,94",2
98.76533333333333,71,77,63,"63,77,71",1
98.84875,45,59,62,"62,59,45",1
98.93216666666666,94,104,85,"85,104,94",1
99.01558333333332,94,104,85,"85,104,94",2
99.09899999999999,94,104,85,"85,104,94",3
99.18241666666665,94,104,85,"85,104,94",4
99.26583333333333,45,59,62,"62,59,45",1
99.34925,94,104,85,"85,104,94",1
99.43266666666666,94,104,85,"85,104,94",2
99.51608333333333,45,59,62,"62,59,45",1
99.59949999999999,94,104,85,"85,104,94",1
99.68291666666666,94,104,85,"85,104,94",2
99.76633333333332,45,59,62,"62,59,45",1
99.84974999999999,94,104,85,"85,104,94",1
99.93316666666666,180,199,156,"156,199,180",1
100.01658333333333,71,77,63,"63,77,71",1
100.1,71,77,63,"63,77,71",2
100.18341666666666,45,59,62,"62,59,45",1
100.26683333333332,71,77,63,"63,77,71",1
100.35024999999999,71,77,63,"63,77,71",2
100.43366666666665,71,77,63,"63,77,71",3
100.51708333333333,71,77,63,"63,77,71",4
100.6005,71,77,63,"63,77,71",5
100.68391666666666,71,77,63,"63,77,71",6
100.76733333333333,71,77,63,"63,77,71",7
100.85074999999999,71,77,63,"63,77,71",8
100.93416666666666,71,77,63,"63,77,71",9
101.01758333333332,71,77,63,"63,77,71",10
101.101,71,77,63,"63,77,71",11
101.18441666666666,71,77,63,"63,77,71",12
101.26783333333333,71,77,63,"63,77,71",13
101.35125,71,77,63,"63,77,71",14
101.43466666666666,71,77,63,"63,77,71",15
101.51808333333332,71,77,63,"63,77,71",16
101.60149999999999,71,77,63,"63,77,71",17
101.68491666666667,71,77,63,"63,77,71",18
101.76833333333333,71,77,63,"63,77,71",19
101.85175,71,77,63,"63,77,71",20
101.93516666666666,194,213,164,"164,213,194",1
102.01858333333332,194,213,164,"164,213,194",2
102.10199999999999,194,213,164,"164,213,194",3
102.18541666666665,194,213,164,"164,213,194",4
102.26883333333332,194,213,164,"164,213,194",5
102.35225,194,213,164,"164,213,194",6
102.43566666666666,194,213,164,"164,213,194",7
102.51908333333333,194,213,164,"164,213,194",8
102.60249999999999,194,213,164,"164,213,194",9
102.68591666666666,194,213,164,"164,213,194",10
102.76933333333332,194,213,164,"164,213,194",11
102.85274999999999,194,213,164,"164,213,194",12
102.93616666666667,194,213,164,"164,213,194",13
103.01958333333333,194,213,164,"164,213,194",14
103.103,194,213,164,"164,213,194",15
103.18641666666666,194,213,164,"164,213,194",16
103.26983333333332,194,213,164,"164,213,194",17
103.35324999999999,194,213,164,"164,213,194",18
103.43666666666665,194,213,164,"164,213,194",19
103.52008333333333,194,213,164,"164,213,194",20
103.6035,194,213,164,"164,213,194",21
103.68691666666666,194,213,164,"164,213,194",22
103.77033333333333,194,213,164,"164,213,194",23
103.85374999999999,194,213,164,"164,213,194",24
103.93716666666666,194,213,164,"164,213,194",25
104.02058333333332,194,213,164,"164,213,194",26
104.104,194,213,164,"164,213,194",27
104.18741666666666,194,213,164,"164,213,194",28
104.27083333333333,194,213,164,"164,213,194",29
104.35425,194,213,164,"164,213,194",30
104.43766666666666,194,213,164,"164,213,194",31
104.52108333333332,194,213,164,"164,213,194",32
104.60449999999999,194,213,164,"164,213,194",33
104.68791666666667,194,213,164,"164,213,194",34
104.77133333333333,194,213,164,"164,213,194",35
104.85475,194,213,164,"164,213,194",36
104.93816666666666,0,0,0,"0,0,0",1
105.02158333333333,0,0,0,"0,0,0",2
105.10499999999999,0,0,0,"0,0,0",3
105.18841666666665,0,0,0,"0,0,0",4
105.27183333333332,0,0,0,"0,0,0",5
105.35525,0,0,0,"0,0,0",6
105.43866666666666,0,0,0,"0,0,0",7
105.52208333333333,0,0,0,"0,0,0",8
105.60549999999999,0,0,0,"0,0,0",9
105.68891666666666,0,0,0,"0,0,0",10
105.77233333333332,0,0,0,"0,0,0",11
105.85574999999999,0,0,0,"0,0,0",12
105.93916666666667,0,0,0,"0,0,0",13
106.02258333333333,0,0,0,"0,0,0",14
106.106,0,0,0,"0,0,0",15
106.18941666666666,0,0,0,"0,0,0",16
106.27283333333332,0,0,0,"0,0,0",17
106.35624999999999,0,0,0,"0,0,0",18
106.43966666666665,0,0,0,"0,0,0",19
106.52308333333333,0,0,0,"0,0,0",20
106.6065,0,0,0,"0,0,0",21
106.68991666666666,0,0,0,"0,0,0",22
106.77333333333333,0,0,0,"0,0,0",23
106.85674999999999,0,0,0,"0,0,0",24
106.94016666666666,0,0,0,"0,0,0",25
107.02358333333332,0,0,0,"0,0,0",26
107.107,0,0,0,"0,0,0",27
107.19041666666666,0,0,0,"0,0,0",28
107.27383333333333,0,0,0,"0,0,0",29
